Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.dto,CopySource,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DELIMITER; bucket; key
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3ObjectIdentifier
S3Mock,com.adobe.testing.s3mock.dto,Error,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,EtagDeserializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Part,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompletedPart
S3Mock,com.adobe.testing.s3mock.dto,Prefix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock,FileStoreController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; LEGACY_PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; LEGACY_PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT; context; kmsKeyStore; environment; config
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOG
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 38 methods
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest.Param,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; delimiter; expectedPrefixes; expectedKeys
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest.Param,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.store,DomainConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.store,FileStore,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
S3Mock,com.adobe.testing.s3mock.store,S3Object,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,Feature Envy,The tool detected a instance of this smell because shouldHoldAllBuckets is more interested in members of the type: FileStore
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,Feature Envy,The tool detected a instance of this smell because cleanupFilestore is more interested in members of the type: FileStore
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 38 methods
S3Mock,com.adobe.testing.s3mock.store,KmsKeyStoreTest,Feature Envy,The tool detected a instance of this smell because testValidateKeyRef is more interested in members of the type: KmsKeyStore
S3Mock,com.adobe.testing.s3mock.util,AwsChunkedDecodingInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID; X_AMZ_SERVER_SIDE_ENCRYPTION; NOT_X_AMZ_SERVER_SIDE_ENCRYPTION; RANGE; X_AMZ_COPY_SOURCE; NOT_X_AMZ_COPY_SOURCE; X_AMZ_COPY_SOURCE_RANGE; NOT_X_AMZ_COPY_SOURCE_RANGE; X_AMZ_METADATA_DIRECTIVE; X_AMZ_CONTENT_SHA256; X_AMZ_TAGGING; CONTENT_MD5; METADATA_DIRECTIVE_COPY; METADATA_DIRECTIVE_REPLACE
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders.MetadataDirective,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders.MetadataDirective,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METADATA_DIRECTIVE_COPY; METADATA_DIRECTIVE_REPLACE
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; CONTINUATION_TOKEN; DELETE; ENCODING_TYPE; LIST_TYPE_V2; MAX_KEYS; PART_NUMBER; START_AFTER; TAGGING; UPLOADS; UPLOAD_ID; NOT_UPLOAD_ID
S3Mock,com.adobe.testing.s3mock.util,MetadataUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arguments
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_MOCK_RULE; BUCKET_NAME; UPLOAD_FILE_NAME; s3Client
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEYSTORE_FILE_NAME; KEYSTORE_PASSWORD; KEY_ALIAS; s3mock
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_NAME; S3MOCK_DEFAULT_HTTP_PORT; S3MOCK_DEFAULT_HTTPS_PORT; DEFAULT_IMAGE_NAME
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerJupiterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerManualTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testng,S3MockListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
